time,open,high,low,close,Volume
1709139600,22.409,22.466,22.408,22.43,NaN
1709143200,22.43,22.446,22.392,22.399,NaN
1709146800,22.399,22.408,22.368,22.397,NaN
1709150400,22.397,22.467,22.397,22.4645,NaN
1709154000,22.4645,22.4685,22.4385,22.4595,NaN
1709161200,22.4595,22.491,22.4515,22.456,NaN
1709164800,22.456,22.4805,22.4385,22.4445,NaN
1709168400,22.4445,22.5025,22.425,22.502,NaN
1709172000,22.502,22.5335,22.495,22.5315,NaN
1709175600,22.5315,22.533,22.4835,22.509,NaN
1709179200,22.509,22.518,22.494,22.507,NaN
1709182800,22.507,22.523,22.482,22.5085,NaN
1709186400,22.5085,22.5625,22.497,22.5315,NaN
1709190000,22.5315,22.56,22.487,22.501,NaN
1709193600,22.501,22.522,22.464,22.4965,NaN
1709197200,22.4965,22.498,22.4245,22.4465,NaN
1709200800,22.4465,22.4465,22.3485,22.3515,NaN
1709204400,22.3515,22.372,22.3345,22.368,NaN
1709208000,22.368,22.3715,22.3275,22.346,NaN
1709211600,22.346,22.737,22.3135,22.7225,NaN
1709215200,22.7225,22.7905,22.6335,22.6555,NaN
1709218800,22.6555,22.724,22.6215,22.663,NaN
1709222400,22.663,22.668,22.5395,22.6145,NaN
1709226000,22.6145,22.679,22.605,22.6725,NaN
1709229600,22.6725,22.7045,22.658,22.702,NaN
1709233200,22.702,22.7195,22.6545,22.6595,NaN
1709236800,22.6595,22.6935,22.6595,22.6755,NaN
1709240400,22.6755,22.6775,22.658,22.6745,NaN
1709247600,22.6745,22.6775,22.644,22.6655,NaN
1709251200,22.6655,22.69,22.65,22.671,NaN
1709254800,22.671,22.6825,22.6445,22.666,NaN
1709258400,22.666,22.7155,22.663,22.712,NaN
1709262000,22.712,22.7905,22.706,22.784,NaN
1709265600,22.784,22.788,22.737,22.738,NaN
1709269200,22.738,22.744,22.6975,22.709,NaN
1709272800,22.709,22.7825,22.706,22.736,NaN
